-foptimize-sibling-calls,-freorder-blocks-algorithm=stc,-ftree-pre,-fschedule-insns2,-fexpensive-optimizations,-fvect-cost-model,-ffinite-loops,-floop-unroll-and-jam,-flra-remat,-fvect-cost-model=dynamic,time
0,0,1,0,1,1,1,0,1,1,0.0500625
0,0,1,0,1,1,1,1,0,0,0.050015625
0,0,1,0,1,1,1,1,0,1,0.049925000000000004
0,0,1,0,1,1,1,1,1,0,0.050025
0,0,1,0,1,1,1,1,1,1,0.05004166666666668
0,0,1,1,0,0,0,0,0,0,0.05126388888888889
0,0,1,1,0,0,0,0,0,1,0.05130555555555555
0,0,1,1,0,0,0,0,1,0,0.05126388888888889
0,0,1,1,0,0,0,0,1,1,0.05125
0,0,1,1,0,0,0,1,0,0,0.0511625
0,0,1,1,0,0,0,1,0,1,0.051319444444444445
0,0,1,1,0,0,0,1,1,0,0.051347222222222225
0,0,1,1,0,0,0,1,1,1,0.05121874999999999
0,0,1,1,0,0,1,0,0,0,0.05109722222222222
0,0,1,1,0,0,1,0,0,1,0.051138888888888887
0,0,1,1,0,0,1,0,1,0,0.05127777777777778
0,0,1,1,0,0,1,0,1,1,0.05106944444444444
0,0,1,1,0,0,1,1,0,0,0.051112500000000005
0,0,1,1,0,0,1,1,0,1,0.0511875
0,0,1,1,0,0,1,1,1,0,0.051111111111111114
0,0,1,1,0,0,1,1,1,1,0.051416666666666666
0,0,1,1,0,1,0,0,0,0,0.051194444444444445
0,0,1,1,0,1,0,0,0,1,0.05115277777777777
0,0,1,1,0,1,0,0,1,0,0.051500000000000004
0,0,1,1,0,1,0,0,1,1,0.05134722222222222
0,0,1,1,0,1,0,1,0,0,0.05136111111111111
0,0,1,1,0,1,0,1,0,1,0.05134722222222222
0,0,1,1,0,1,0,1,1,0,0.05126388888888889
0,0,1,1,0,1,0,1,1,1,0.051472222222222225
0,0,1,1,0,1,1,0,0,0,0.05133333333333333
0,0,1,1,0,1,1,0,0,1,0.05116666666666666
0,0,1,1,0,1,1,0,1,0,0.05138888888888889
0,0,1,1,0,1,1,0,1,1,0.05138888888888889
0,0,1,1,0,1,1,1,0,0,0.05127777777777778
0,0,1,1,0,1,1,1,0,1,0.051212499999999994
0,0,1,1,0,1,1,1,1,0,0.051472222222222225
0,0,1,1,0,1,1,1,1,1,0.05106944444444444
0,0,1,1,1,0,0,0,0,0,0.04913888888888889
0,0,1,1,1,0,0,0,0,1,0.049
0,0,1,1,1,0,0,0,1,0,0.04884722222222222
0,0,1,1,1,0,0,0,1,1,0.04904166666666667
0,0,1,1,1,0,0,1,0,0,0.049125
0,0,1,1,1,0,0,1,0,1,0.04911111111111112
0,0,1,1,1,0,0,1,1,0,0.04887500000000001
0,0,1,1,1,0,0,1,1,1,0.04906944444444444
0,0,1,1,1,0,1,0,0,0,0.04897222222222222
0,0,1,1,1,0,1,0,0,1,0.049125
0,0,1,1,1,0,1,0,1,0,0.04930555555555556
0,0,1,1,1,0,1,0,1,1,0.0490625
0,0,1,1,1,0,1,1,0,0,0.04890625
0,0,1,1,1,0,1,1,0,1,0.04904166666666667
0,0,1,1,1,0,1,1,1,0,0.048875
0,0,1,1,1,0,1,1,1,1,0.0491125
0,0,1,1,1,1,0,0,0,0,0.049055555555555554
0,0,1,1,1,1,0,0,0,1,0.04909722222222222
0,0,1,1,1,1,0,0,1,0,0.049
0,0,1,1,1,1,0,0,1,1,0.04893055555555556
0,0,1,1,1,1,0,1,0,0,0.04906944444444444
0,0,1,1,1,1,0,1,0,1,0.04916666666666667
0,0,1,1,1,1,0,1,1,0,0.048968750000000005
0,0,1,1,1,1,0,1,1,1,0.04927777777777778
0,0,1,1,1,1,1,0,0,0,0.048986111111111105
0,0,1,1,1,1,1,0,0,1,0.0491125
0,0,1,1,1,1,1,0,1,0,0.04908333333333334
0,0,1,1,1,1,1,0,1,1,0.049013888888888885
0,0,1,1,1,1,1,1,0,0,0.04911111111111111
0,0,1,1,1,1,1,1,0,1,0.049140625
0,0,1,1,1,1,1,1,1,0,0.04886111111111111
0,0,1,1,1,1,1,1,1,1,0.049109375
0,1,0,0,0,0,0,0,0,0,0.05043055555555556
0,1,0,0,0,0,0,0,0,1,0.05019444444444445
0,1,0,0,0,0,0,0,1,0,0.05025
0,1,0,0,0,0,0,0,1,1,0.05023611111111112
0,1,0,0,0,0,0,1,0,0,0.05019444444444445
0,1,0,0,0,0,0,1,0,1,0.050222222222222224
0,1,0,0,0,0,0,1,1,0,0.0501625
0,1,0,0,0,0,0,1,1,1,0.050305555555555555
0,1,0,0,0,0,1,0,0,0,0.050097222222222224
0,1,0,0,0,0,1,0,0,1,0.05015625
0,1,0,0,0,0,1,0,1,0,0.050180555555555555
0,1,0,0,0,0,1,0,1,1,0.050097222222222224
0,1,0,0,0,0,1,1,0,0,0.05025
0,1,0,0,0,0,1,1,0,1,0.05027777777777778
0,1,0,0,0,0,1,1,1,0,0.04998611111111111
0,1,0,0,0,0,1,1,1,1,0.05018055555555556
0,1,0,0,0,1,0,0,0,0,0.050078125
0,1,0,0,0,1,0,0,0,1,0.05008333333333334
0,1,0,0,0,1,0,0,1,0,0.0500125
0,1,0,0,0,1,0,0,1,1,0.05027777777777778
0,1,0,0,0,1,0,1,0,0,0.05005
0,1,0,0,0,1,0,1,0,1,0.05028125
0,1,0,0,0,1,0,1,1,0,0.050138888888888886
0,1,0,0,0,1,0,1,1,1,0.05023611111111112
0,1,0,0,0,1,1,0,0,0,0.050112500000000004
0,1,0,0,0,1,1,0,0,1,0.05025
0,1,0,0,0,1,1,0,1,0,0.05014062500000001
0,1,0,0,0,1,1,0,1,1,0.05009722222222222
0,1,0,0,0,1,1,1,0,0,0.0502625
0,1,0,0,0,1,1,1,0,1,0.0499625
0,1,0,0,0,1,1,1,1,0,0.050180555555555555
0,1,0,0,0,1,1,1,1,1,0.05008333333333334
0,1,0,0,1,0,0,0,0,0,0.0528
0,1,0,0,1,0,0,0,0,1,0.05267499999999999
0,1,0,0,1,0,0,0,1,0,0.053015625
0,1,0,0,1,0,0,0,1,1,0.052828125000000004
0,1,0,0,1,0,0,1,0,0,0.05288888888888889
0,1,0,0,1,0,0,1,0,1,0.0526875
0,1,0,0,1,0,0,1,1,0,0.052421875
0,1,0,0,1,0,0,1,1,1,0.052849999999999994
0,1,0,0,1,0,1,0,0,0,0.05290277777777777
0,1,0,0,1,0,1,0,0,1,0.05275
0,1,0,0,1,0,1,0,1,0,0.052875
0,1,0,0,1,0,1,0,1,1,0.052828125
0,1,0,0,1,0,1,1,0,0,0.052649999999999995
0,1,0,0,1,0,1,1,0,1,0.05290277777777777
0,1,0,0,1,0,1,1,1,0,0.05275
0,1,0,0,1,0,1,1,1,1,0.052569444444444446
0,1,0,0,1,1,0,0,0,0,0.0529375
0,1,0,0,1,1,0,0,0,1,0.05270833333333333
0,1,0,0,1,1,0,0,1,0,0.05234722222222222
0,1,0,0,1,1,0,0,1,1,0.05263888888888889
0,1,0,0,1,1,0,1,0,0,0.05284722222222222
0,1,0,0,1,1,0,1,0,1,0.052890625
0,1,0,0,1,1,0,1,1,0,0.052625000000000005
0,1,0,0,1,1,0,1,1,1,0.05266666666666667
0,1,0,0,1,1,1,0,0,0,0.052875
0,1,0,0,1,1,1,0,0,1,0.05305
0,1,0,0,1,1,1,0,1,0,0.052859375
0,1,0,0,1,1,1,0,1,1,0.05270833333333333
0,1,0,0,1,1,1,1,0,0,0.05279166666666667
0,1,0,0,1,1,1,1,0,1,0.05263888888888889
0,1,0,0,1,1,1,1,1,0,0.05290277777777778
0,1,0,0,1,1,1,1,1,1,0.05315277777777778
0,1,0,1,0,0,0,0,0,0,0.050050000000000004
0,1,0,1,0,0,0,0,0,1,0.04998611111111111
0,1,0,1,0,0,0,0,1,0,0.050015625
0,1,0,1,0,0,0,0,1,1,0.050069444444444444
0,1,0,1,0,0,0,1,0,0,0.0501375
0,1,0,1,0,0,0,1,0,1,0.05009722222222223
0,1,0,1,0,0,0,1,1,0,0.05002777777777778
0,1,0,1,0,0,0,1,1,1,0.05018750000000001
0,1,0,1,0,0,1,0,0,0,0.050125
0,1,0,1,0,0,1,0,0,1,0.050093750000000006
0,1,0,1,0,0,1,0,1,0,0.04986111111111111
0,1,0,1,0,0,1,0,1,1,0.05004166666666667
0,1,0,1,0,0,1,1,0,0,0.05013888888888889
0,1,0,1,0,0,1,1,0,1,0.05008333333333334
0,1,0,1,0,0,1,1,1,0,0.05015000000000001
0,1,0,1,0,0,1,1,1,1,0.050050000000000004
0,1,0,1,0,1,0,0,0,0,0.0502625
0,1,0,1,0,1,0,0,0,1,0.05008333333333334
0,1,0,1,0,1,0,0,1,0,0.05008333333333334
0,1,0,1,0,1,0,0,1,1,0.05018750000000001
0,1,0,1,0,1,0,1,0,0,0.05025
0,1,0,1,0,1,0,1,0,1,0.050125
0,1,0,1,0,1,0,1,1,0,0.05019444444444445
0,1,0,1,0,1,0,1,1,1,0.05011111111111111
0,1,0,1,0,1,1,0,0,0,0.05015277777777778
0,1,0,1,0,1,1,0,0,1,0.050111111111111106
0,1,0,1,0,1,1,0,1,0,0.050234375
0,1,0,1,0,1,1,0,1,1,0.050166666666666665
0,1,0,1,0,1,1,1,0,0,0.050062499999999996
0,1,0,1,0,1,1,1,0,1,0.05011111111111111
0,1,0,1,0,1,1,1,1,0,0.05039062500000001
0,1,0,1,0,1,1,1,1,1,0.050097222222222224
0,1,0,1,1,0,0,0,0,0,0.050671875
0,1,0,1,1,0,0,0,0,1,0.05069444444444445
0,1,0,1,1,0,0,0,1,0,0.050638888888888886
0,1,0,1,1,0,0,0,1,1,0.05050000000000001
0,1,0,1,1,0,0,1,0,0,0.050484375000000005
0,1,0,1,1,0,0,1,0,1,0.050765625
0,1,0,1,1,0,0,1,1,0,0.0505
0,1,0,1,1,0,0,1,1,1,0.050671875000000005
0,1,0,1,1,0,1,0,0,0,0.050875000000000004
0,1,0,1,1,0,1,0,0,1,0.050583333333333334
0,1,0,1,1,0,1,0,1,0,0.050694444444444445
0,1,0,1,1,0,1,0,1,1,0.050749999999999997
0,1,0,1,1,0,1,1,0,0,0.050546875000000005
0,1,0,1,1,0,1,1,0,1,0.050515625
0,1,0,1,1,0,1,1,1,0,0.050737500000000005
0,1,0,1,1,0,1,1,1,1,0.050722222222222224
0,1,0,1,1,1,0,0,0,0,0.05094444444444444
0,1,0,1,1,1,0,0,0,1,0.05059375
0,1,0,1,1,1,0,0,1,0,0.050791666666666666
0,1,0,1,1,1,0,0,1,1,0.05080555555555556
0,1,0,1,1,1,0,1,0,0,0.050638888888888886
0,1,0,1,1,1,0,1,0,1,0.050749999999999997
0,1,0,1,1,1,0,1,1,0,0.050787500000000006
0,1,0,1,1,1,0,1,1,1,0.05086111111111111
0,1,0,1,1,1,1,0,0,0,0.050765625
0,1,0,1,1,1,1,0,0,1,0.050734375
0,1,0,1,1,1,1,0,1,0,0.050694444444444445
0,1,0,1,1,1,1,0,1,1,0.050791666666666666
0,1,0,1,1,1,1,1,0,0,0.0506625
0,1,0,1,1,1,1,1,0,1,0.050725
0,1,0,1,1,1,1,1,1,0,0.050819444444444445
0,1,0,1,1,1,1,1,1,1,0.0505625
0,1,1,0,0,0,0,0,0,0,0.04634722222222222
0,1,1,0,0,0,0,0,0,1,0.046453125
0,1,1,0,0,0,0,0,1,0,0.04634722222222222
0,1,1,0,0,0,0,0,1,1,0.04631944444444444
0,1,1,0,0,0,0,1,0,0,0.046390625000000005
0,1,1,0,0,0,0,1,0,1,0.0464375
0,1,1,0,0,0,0,1,1,0,0.04641666666666667
0,1,1,0,0,0,0,1,1,1,0.04634722222222223
0,1,1,0,0,0,1,0,0,0,0.04644444444444445
0,1,1,0,0,0,1,0,0,1,0.04630555555555556
0,1,1,0,0,0,1,0,1,0,0.046462500000000004
0,1,1,0,0,0,1,0,1,1,0.04643055555555556
0,1,1,0,0,0,1,1,0,0,0.04631944444444444
0,1,1,0,0,0,1,1,0,1,0.04643055555555556
0,1,1,0,0,0,1,1,1,0,0.046425
0,1,1,0,0,0,1,1,1,1,0.0463375
0,1,1,0,0,1,0,0,0,0,0.04633333333333333
0,1,1,0,0,1,0,0,0,1,0.046475
0,1,1,0,0,1,0,0,1,0,0.04655555555555555
0,1,1,0,0,1,0,0,1,1,0.04661111111111112
0,1,1,0,0,1,0,1,0,0,0.046609375
0,1,1,0,0,1,0,1,0,1,0.04680555555555556
0,1,1,0,0,1,0,1,1,0,0.04681944444444444
0,1,1,0,0,1,0,1,1,1,0.04679166666666666
0,1,1,0,0,1,1,0,0,0,0.04676388888888889
0,1,1,0,0,1,1,0,0,1,0.04698611111111111
0,1,1,0,0,1,1,0,1,0,0.04698611111111111
0,1,1,0,0,1,1,0,1,1,0.0465
0,1,1,0,0,1,1,1,0,0,0.0465
0,1,1,0,0,1,1,1,0,1,0.046400000000000004
0,1,1,0,0,1,1,1,1,0,0.046333333333333324
0,1,1,0,0,1,1,1,1,1,0.0464375
0,1,1,0,1,0,0,0,0,0,0.0475
0,1,1,0,1,0,0,0,0,1,0.047468750000000004
0,1,1,0,1,0,0,0,1,0,0.0475125
0,1,1,0,1,0,0,0,1,1,0.047512500000000006
0,1,1,0,1,0,0,1,0,0,0.04756944444444445
0,1,1,0,1,0,0,1,0,1,0.047453125
0,1,1,0,1,0,0,1,1,0,0.047578125
0,1,1,0,1,0,0,1,1,1,0.0475
0,1,1,0,1,0,1,0,0,0,0.04754166666666667
0,1,1,0,1,0,1,0,0,1,0.04747222222222222
0,1,1,0,1,0,1,0,1,0,0.047453125
0,1,1,0,1,0,1,0,1,1,0.047325
0,1,1,0,1,0,1,1,0,0,0.04755555555555556
0,1,1,0,1,0,1,1,0,1,0.04744444444444445
0,1,1,0,1,0,1,1,1,0,0.047444444444444435
0,1,1,0,1,0,1,1,1,1,0.04746875
0,1,1,0,1,1,0,0,0,0,0.04748611111111111
0,1,1,0,1,1,0,0,0,1,0.0474875
0,1,1,0,1,1,0,0,1,0,0.0474375
0,1,1,0,1,1,0,0,1,1,0.0475
0,1,1,0,1,1,0,1,0,0,0.04750000000000001
0,1,1,0,1,1,0,1,0,1,0.04745833333333333
0,1,1,0,1,1,0,1,1,0,0.04751388888888889
0,1,1,0,1,1,0,1,1,1,0.047375
0,1,1,0,1,1,1,0,0,0,0.047374999999999994
0,1,1,0,1,1,1,0,0,1,0.047450000000000006
0,1,1,0,1,1,1,0,1,0,0.04743055555555556
0,1,1,0,1,1,1,0,1,1,0.04738888888888889
0,1,1,0,1,1,1,1,0,0,0.047425
0,1,1,0,1,1,1,1,0,1,0.04743055555555556
0,1,1,0,1,1,1,1,1,0,0.04741666666666667
0,1,1,0,1,1,1,1,1,1,0.04738888888888889
0,1,1,1,0,0,0,0,0,0,0.04583333333333334
0,1,1,1,0,0,0,0,0,1,0.045906249999999996
0,1,1,1,0,0,0,0,1,0,0.0459625
0,1,1,1,0,0,0,0,1,1,0.04590277777777778
0,1,1,1,0,0,0,1,0,0,0.04580555555555556
0,1,1,1,0,0,0,1,0,1,0.04605555555555555
0,1,1,1,0,0,0,1,1,0,0.04579166666666666
0,1,1,1,0,0,0,1,1,1,0.045975
0,1,1,1,0,0,1,0,0,0,0.04590277777777777
0,1,1,1,0,0,1,0,0,1,0.04584375
0,1,1,1,0,0,1,0,1,0,0.04586111111111111
0,1,1,1,0,0,1,0,1,1,0.04595833333333334
0,1,1,1,0,0,1,1,0,0,0.04576388888888889
0,1,1,1,0,0,1,1,0,1,0.046024999999999996
0,1,1,1,0,0,1,1,1,0,0.04616666666666666
0,1,1,1,0,0,1,1,1,1,0.04580555555555556
0,1,1,1,0,1,0,0,0,0,0.0460125
0,1,1,1,0,1,0,0,0,1,0.04615277777777778
0,1,1,1,0,1,0,0,1,0,0.045924999999999994
0,1,1,1,0,1,0,0,1,1,0.0460875
0,1,1,1,0,1,0,1,0,0,0.04595
0,1,1,1,0,1,0,1,0,1,0.04573611111111111
0,1,1,1,0,1,0,1,1,0,0.04583333333333333
0,1,1,1,0,1,0,1,1,1,0.046
0,1,1,1,0,1,1,0,0,0,0.04602777777777778
0,1,1,1,0,1,1,0,0,1,0.04593055555555556
0,1,1,1,0,1,1,0,1,0,0.045875
0,1,1,1,0,1,1,0,1,1,0.04572222222222223
0,1,1,1,0,1,1,1,0,0,0.04594444444444444
0,1,1,1,0,1,1,1,0,1,0.045862499999999994
0,1,1,1,0,1,1,1,1,0,0.04583333333333333
0,1,1,1,0,1,1,1,1,1,0.046015625
0,1,1,1,1,0,0,0,0,0,0.04677777777777778
0,1,1,1,1,0,0,0,0,1,0.04661111111111111
0,1,1,1,1,0,0,0,1,0,0.04670833333333333
0,1,1,1,1,0,0,0,1,1,0.04670833333333333
0,1,1,1,1,0,0,1,0,0,0.046921875
0,1,1,1,1,0,0,1,0,1,0.047
0,1,1,1,1,0,0,1,1,0,0.046625
